hex, char
A000, 尭
A001, 暁
A002, 局
A003, 曲
A004, 極
A005, 玉
A006, 桐
A007, 粁
A008, 僅
A009, 勤
A00A, 均
A00B, 巾
A00C, 錦
A00D, 斤
A00E, 欣
A00F, 欽
A010, 琴
A011, 禁
A012, 禽
A013, 筋
A014, 緊
A015, 芹
A016, 菌
A017, 衿
A018, 襟
A019, 謹
A01A, 近
A01B, 金
A01C, 吟
A01D, 銀
A01E, 九
A01F, 倶
A020, 句
A021, 区
A022, 狗
A023, 玖
A024, 矩
A025, 苦
A026, 躯
A027, 駈
A028, 駒
A029, 愚
A02A, 虞
A02B, 喰
A02C, 偶
A02D, 寓
A02E, 遇
A02F, 隅
A030, 串
A031, 櫛
A032, 釧
A033, 屑
A034, 屈
A035, 沓
A036, 靴
A037, 轡
A038, 窪
A039, 熊
A03A, 隈
A03B, 粂
A03C, 栗
A03D, 繰
A03E, 桑
A03F, 鍬
A040, 勲
A041, 君
A042, 薫
A043, 訓
A044, 群
A045, 軍
A046, 郡
A047, 卦
A048, 袈
A049, 祁
A04A, 係
A04B, 傾
A04C, 刑
A04D, 兄
A04E, 啓
A04F, 圭
A050, 珪
A051, 型
A052, 契
A053, 形
A054, 径
A055, 恵
A056, 慶
A057, 慧
A058, 憩
A059, 掲
A05A, 敬
A05B, 景
A05C, 桂
A05D, 桂
A05E, 渓
A05F, 畦
A060, 稽
A061, 系
A062, 経
A063, 継
A064, 繋
A065, 罫
A066, 茎
A067, 荊
A068, 蛍
A069, 計
A06A, 詣
A06B, 頚
A06C, 鶏
A06D, 芸
A06E, 迎
A06F, 鯨
A070, 戟
A071, 隙
A072, 桁
A073, 傑
A074, 欠
A075, 決
A076, 潔
A077, 結
A078, 血
A079, 訣
A07A, 件
A07B, 倹
A07C, 倦
A07D, 健
A07E, 兼
A07F, 券
A080, 券
A081, 喧
A082, 圏
A083, 堅
A084, 嫌
A085, 建
A086, 憲
A087, 懸
A088, 捲
A089, 検
A08A, 権
A08B, 牽
A08C, 犬
A08D, 献
A08E, 硯
A08F, 絹
A090, 県
A091, 見
A092, 謙
A093, 賢
A094, 軒
A095, 遣
A096, 鍵
A097, 険
A098, 顕
A099, 験
A09A, 鹸
A09B, 元
A09C, 原
A09D, 厳
A09E, 弦
A09F, 減
A0A0, 源
A0A1, 玄
A0A2, 現
A0A3, 絃
A0A4, 舷
A0A5, 言
A0A6, 諺
A0A7, 限
A0A8, 乎
A0A9, 個
A0AA, 古
A0AB, 呼
A0AC, 固
A0AD, 姑
A0AE, 孤
A0AF, 己
A0B0, 庫
A0B1, 弧
A0B2, 戸
A0B3, 故
A0B4, 枯
A0B5, 湖
A0B6, 狐
A0B7, 糊
A0B8, 袴
A0B9, 股
A0BA, 胡
A0BB, 菰
A0BC, 誇
A0BD, 跨
A0BE, 鈷
A0BF, 雇
A0C0, 顧
A0C1, 鼓
A0C2, 互
A0C3, 伍
A0C4, 午
A0C5, 呉
A0C6, 吾
A0C7, 娯
A0C8, 後
A0C9, 悟
A0CA, 梧
A0CB, 檎
A0CC, 瑚
A0CD, 碁
A0CE, 語
A0CF, 誤
A0D0, 護
A0D1, 醐
A0D2, 乞
A0D3, 鯉
A0D4, 交
A0D5, 佼
A0D6, 侯
A0D7, 候
A0D8, 倖
A0D9, 公
A0DA, 功
A0DB, 効
A0DC, 勾
A0DD, 厚
A0DE, 向
A0DF, 后
A0E0, 喉
A0E1, 坑
A0E2, 垢
A0E3, 好
A0E4, 孔
A0E5, 孝
A0E6, 宏
A0E7, 巧
A0E8, 巷
A0E9, 幸
A0EA, 広
A0EB, 庚
A0EC, 康
A0ED, 弘
A0EE, 恒
A0EF, 慌
A0F0, 抗
A0F1, 拘
A0F2, 控
A0F3, 昂
A0F4, 晃
A0F5, 更
A0F6, 杭
A0F7, 校
A0F8, 梗
A0F9, 構
A0FA, 江
A0FB, 洪
A0FC, 浩
A0FD, 溝
A0FE, 甲
A0FF, 硬
A100, 跨
A101, 鈷
A102, 雇
A103, 顧
A104, 鼓
A105, 互
A106, 伍
A107, 午
A108, 呉
A109, 吾
A10A, 娯
A10B, 後
A10C, 悟
A10D, 梧
A10E, 檎
A10F, 瑚
A110, 碁
A111, 語
A112, 誤
A113, 護
A114, 醐
A115, 乞
A116, 鯉
A117, 交
A118, 佼
A119, 侯
A11A, 候
A11B, 倖
A11C, 公
A11D, 功
A11E, 効
A11F, 勾
A120, 厚
A121, 向
A122, 后
A123, 喉
A124, 坑
A125, 垢
A126, 好
A127, 孔
A128, 孝
A129, 宏
A12A, 巧
A12B, 巷
A12C, 幸
A12D, 広
A12E, 庚
A12F, 康
A130, 弘
A131, 恒
A132, 慌
A133, 抗
A134, 拘
A135, 控
A136, 昂
A137, 晃
A138, 更
A139, 杭
A13A, 校
A13B, 梗
A13C, 構
A13D, 江
A13E, 洪
A13F, 浩
A140, 溝
A141, 甲
A142, 硬
A143, 稿
A144, 糠
A145, 紘
A146, 絞
A147, 綱
A148, 耕
A149, 考
A14A, 肯
A14B, 肱
A14C, 腔
A14D, 膏
A14E, 航
A14F, 衡
A150, 講
A151, 貢
A152, 購
A153, 郊
A154, 酵
A155, 鉱
A156, 砿
A157, 鋼
A158, 閤
A159, 降
A15A, 項
A15B, 香
A15C, 高
A15D, 高
A15E, 鴻
A15F, 劫
A160, 号
A161, 壕
A162, 拷
A163, 濠
A164, 轟
A165, 麹
A166, 克
A167, 刻
A168, 告
A169, 穀
A16A, 酷
A16B, 鵠
A16C, 黒
A16D, 漉
A16E, 腰
A16F, 甑
A170, 忽
A171, 惚
A172, 骨
A173, 狛
A174, 此
A175, 頃
A176, 困
A177, 坤
A178, 墾
A179, 婚
A17A, 恨
A17B, 懇
A17C, 昏
A17D, 昆
A17E, 根
A17F, 梱
A180, 梱
A181, 混
A182, 痕
A183, 紺
